task_length,cpu_cores_needed,memory_needed(MB),network_bandwidth_needed(Mbps),priority,vm_id,arrival_time
654,5,654,90,3,VM1,19272
639,5,598,120,3,VM2,19276
374,7,1031,128,1,VM3,19321
453,5,1299,102,2,VM4,19698
549,7,886,93,3,VM1,20779
646,3,1101,116,1,VM3,22003
428,4,1211,52,3,VM2,22207
472,2,769,78,3,VM4,22818
334,6,1018,53,3,VM4,23218
320,2,853,78,3,VM1,23427
621,3,1435,84,3,VM4,23682
703,6,1423,129,1,VM4,23726
489,5,769,44,2,VM4,24559
650,1,1122,91,2,VM4,24689
554,3,1297,112,2,VM2,24866
403,3,1241,108,2,VM3,25200
554,4,1044,129,1,VM2,25322
730,2,1358,103,1,VM2,25410
494,3,792,107,1,VM1,25709
734,3,946,63,3,VM4,25717
107,5,799,80,3,VM2,26100
623,5,1224,64,3,VM4,26316
513,6,874,111,2,VM2,26595
455,7,980,106,3,VM2,26895
513,7,1182,106,2,VM1,27120
201,1,1202,82,3,VM3,27382
467,7,791,80,2,VM3,27727
553,4,1294,104,3,VM2,28147
721,1,1140,86,3,VM1,28537
422,6,747,79,1,VM4,29148
378,5,684,89,3,VM4,29211
424,7,1019,86,3,VM2,29365
637,2,1241,82,1,VM3,30251
549,5,1248,75,2,VM1,30402
420,4,1115,108,1,VM3,30442
576,5,1036,131,1,VM4,30666
514,4,1155,99,2,VM3,30701
645,4,805,104,3,VM4,30769
394,4,1455,110,2,VM1,32685
450,6,1452,107,3,VM1,32919
441,4,1133,83,3,VM2,33019
280,4,1074,134,2,VM2,34595
544,2,918,84,1,VM3,35615
539,1,1159,112,2,VM1,35789
500,3,847,110,3,VM1,35880
464,1,454,60,2,VM2,36426
287,4,329,92,2,VM4,36804
436,2,819,101,3,VM3,37152
448,5,1064,102,1,VM3,37823
379,2,1108,106,2,VM2,38174
475,4,899,115,3,VM1,38274
560,2,1060,99,3,VM2,38629
782,7,953,107,2,VM2,38738
526,2,768,99,1,VM2,39166
538,4,1010,79,2,VM2,39456
488,6,1232,100,1,VM4,39480
212,7,779,114,1,VM4,39696
496,2,779,122,1,VM1,39822
509,3,750,110,1,VM2,39941
869,3,528,126,2,VM4,40218
471,2,901,108,3,VM1,40335
545,6,1206,117,3,VM2,40785
494,5,1068,118,3,VM3,40807
324,4,980,95,3,VM4,41131
671,3,1057,114,3,VM1,41628
612,5,898,81,3,VM3,41963
618,2,525,106,2,VM2,42169
363,5,1224,111,1,VM2,43070
710,7,1298,121,3,VM2,43177
289,1,837,116,2,VM4,43182
588,3,985,121,3,VM1,43352
828,2,963,98,3,VM3,43362
351,4,1113,93,1,VM1,44285
415,6,1456,94,1,VM4,44356
514,7,1320,105,1,VM1,44823
424,2,927,63,3,VM4,45270
267,4,1162,126,3,VM2,45343
510,6,1345,100,3,VM3,45635
340,6,1128,91,1,VM2,45649
571,2,1022,49,2,VM1,45848
362,7,1138,99,3,VM2,45852
732,5,843,96,3,VM3,46614
382,5,881,82,3,VM2,47734
451,6,751,86,2,VM3,47810
622,5,1102,99,3,VM3,47880
315,1,990,88,2,VM2,48300
534,6,813,111,3,VM4,48388
696,6,981,85,2,VM1,49064
258,4,1144,103,3,VM4,49320
527,5,1514,123,1,VM4,49450
538,7,1283,99,1,VM2,49986
617,6,439,107,1,VM1,50190
314,7,1085,105,1,VM1,50918
301,1,1389,100,3,VM4,51707
578,4,681,98,1,VM2,51761
544,2,1165,88,2,VM1,51762
537,7,963,103,1,VM4,53001
551,6,1318,94,1,VM1,53711
397,1,1127,130,1,VM2,53728
534,3,797,116,3,VM2,54265
543,1,972,70,1,VM2,54449
392,1,987,72,2,VM1,54539
779,4,992,97,1,VM3,55172
571,2,1310,92,1,VM1,55237
321,3,808,96,1,VM3,56120
598,5,1280,113,2,VM2,56189
353,5,946,106,1,VM4,56475
618,7,1081,106,2,VM3,56551
673,1,1042,128,2,VM2,56787
376,4,1018,72,1,VM2,57133
644,4,1020,102,2,VM3,57196
561,5,1397,88,3,VM4,57417
623,7,1239,128,1,VM2,57607
784,7,931,55,1,VM3,57629
463,7,1429,56,2,VM4,58140
386,3,1094,106,2,VM4,58263
366,2,1115,122,1,VM2,58520
377,3,809,115,3,VM1,58737
488,6,896,83,2,VM1,58953
551,6,847,130,2,VM2,58987
541,2,1046,75,3,VM4,59152
624,5,1187,126,3,VM2,59332
501,2,1118,78,1,VM3,59729
718,4,1430,92,3,VM1,60279
460,6,796,112,1,VM3,60515
908,1,1053,70,3,VM2,60543
593,1,695,129,2,VM2,60624
371,5,788,92,1,VM4,60678
339,4,1347,102,1,VM4,60718
572,3,905,123,1,VM4,60854
466,4,818,84,3,VM3,60933
607,1,478,121,2,VM4,61006
570,1,815,132,1,VM2,61023
489,6,971,86,1,VM4,61029
372,4,676,127,1,VM1,61061
272,4,956,64,1,VM4,61118
433,1,1349,107,2,VM3,61287
628,3,842,75,3,VM1,61501
532,5,782,118,2,VM1,61547
313,7,736,117,1,VM1,61713
525,5,731,141,2,VM3,61838
557,4,1161,128,1,VM2,61899
367,5,1036,96,3,VM4,61901
523,1,1268,78,3,VM1,62090
508,1,1541,111,3,VM1,62437
328,4,555,98,1,VM1,62514
553,4,1121,131,2,VM2,62556
584,7,737,56,3,VM2,63211
662,7,1225,143,1,VM3,63307
658,6,954,110,1,VM2,63383
293,4,1030,83,2,VM4,63967
359,3,695,114,3,VM3,64476
577,5,914,125,1,VM3,64655
577,4,1046,102,2,VM4,64856
577,2,1371,64,3,VM4,64930
1077,6,820,94,2,VM4,64954
585,2,883,120,2,VM3,65210
670,1,1265,109,1,VM3,65241
643,7,804,96,1,VM3,65420
597,5,1316,126,1,VM4,66267
452,4,1021,114,2,VM4,67183
613,2,1101,116,1,VM1,67265
384,5,1118,91,2,VM2,67558
464,1,866,89,2,VM1,67751
427,7,1123,66,1,VM4,68377
512,3,826,94,3,VM3,68472
847,6,895,118,3,VM4,68473
219,5,1167,95,3,VM2,68526
602,5,1099,108,2,VM1,68655
258,3,1004,122,2,VM1,68769
429,5,701,107,2,VM3,69239
663,1,765,109,1,VM1,69581
509,1,1094,72,2,VM1,69688
338,3,1211,93,1,VM4,69872
392,6,739,134,1,VM1,69902
601,4,809,102,3,VM1,70587
390,2,1058,137,3,VM1,71409
532,4,1052,85,3,VM3,72580
506,5,608,104,1,VM3,73189
402,2,1065,92,1,VM4,73246
821,3,870,111,1,VM1,73260
595,3,1444,117,2,VM3,73520
196,6,1087,112,1,VM3,74251
527,2,1131,120,3,VM4,74310
400,1,1138,99,3,VM2,74312
627,2,713,96,1,VM1,74803
381,5,1521,64,1,VM3,74827
482,1,608,112,3,VM4,74987
575,7,1227,103,1,VM4,75328
629,7,1182,98,3,VM4,75409
319,7,901,96,2,VM3,75435
449,3,1194,99,3,VM1,75876
428,2,942,95,2,VM2,76175
402,7,851,89,1,VM1,77514
764,4,1144,104,1,VM4,77641
560,6,766,109,2,VM4,77660
310,4,966,84,1,VM2,78058
637,7,871,91,2,VM1,78279
818,6,937,95,1,VM4,78351
654,5,1134,100,3,VM4,78807
272,4,871,97,1,VM1,78876
427,2,974,113,3,VM4,78966
690,2,895,66,3,VM1,78995
393,4,1393,70,2,VM4,79148
566,7,1111,103,1,VM1,79311
616,2,1080,87,2,VM2,79528
360,5,1198,117,1,VM4,79898
491,1,871,123,3,VM2,80608
13,7,1243,104,3,VM4,80652
346,5,1112,78,1,VM4,80669
462,6,624,121,1,VM3,80675
312,5,658,103,2,VM1,80721
744,7,877,70,1,VM2,81043
285,6,685,72,1,VM2,81433
433,7,963,130,1,VM2,81896
519,2,764,127,2,VM1,81980
716,1,998,49,1,VM3,82090
284,7,1385,72,3,VM2,82288
674,7,1011,122,2,VM1,82307
501,2,946,99,2,VM4,82591
352,3,1123,114,3,VM2,83826
569,2,845,98,3,VM2,83961
529,6,1239,113,3,VM3,84380
409,2,1150,100,1,VM2,84588
510,2,1033,91,3,VM2,84629
442,1,1063,121,1,VM4,84891
517,2,1546,104,2,VM1,84998
599,7,1265,113,2,VM1,85008
737,1,1587,103,3,VM3,85311
314,4,1160,90,1,VM4,85898
819,3,647,132,3,VM1,86025
207,1,956,107,3,VM4,86173
477,6,588,92,1,VM1,86838
588,4,1159,125,3,VM4,87342
542,1,1214,73,2,VM3,87719
406,1,797,144,3,VM2,87805
468,3,856,96,1,VM3,88528
426,7,1062,74,1,VM1,88578
411,6,717,138,2,VM3,88874
627,5,698,90,1,VM2,88883
553,5,1341,104,1,VM3,89192
396,1,1053,114,2,VM1,89290
634,2,881,123,3,VM1,89469
546,6,590,105,2,VM3,89596
621,4,1242,87,3,VM2,89653
594,2,848,104,2,VM3,89944
375,2,1500,91,3,VM2,90586
415,6,1243,104,2,VM4,91544
612,7,817,132,3,VM2,91609
591,1,840,115,2,VM4,91988
496,1,1464,104,3,VM3,92315
517,1,1002,114,2,VM2,92441
691,1,892,116,1,VM4,92447
411,5,1031,78,3,VM4,92798
582,1,891,100,2,VM4,93671
469,5,1085,151,3,VM1,93971
467,5,1004,124,3,VM3,94142
664,7,1248,89,2,VM4,94366
623,1,924,87,3,VM2,94433
622,3,797,87,2,VM4,94849
695,4,934,117,1,VM1,95261
503,2,933,132,3,VM3,95308
602,5,1004,111,1,VM1,95939
453,6,1186,103,3,VM1,96033
548,6,1172,91,3,VM1,97243
480,4,1331,106,3,VM2,97388
514,6,816,83,2,VM3,97446
589,3,1123,61,1,VM3,97576
377,6,1210,132,3,VM2,97750
813,2,851,79,2,VM3,97772
349,2,970,93,3,VM1,98031
317,5,576,113,2,VM3,98304
673,1,1256,128,3,VM2,98707
618,7,968,105,1,VM1,98716
593,3,1230,76,1,VM2,98950
594,5,1076,93,3,VM4,98966
498,3,976,86,2,VM1,99328
365,1,616,99,3,VM1,99345
511,6,661,124,2,VM3,100074
398,6,360,49,3,VM1,100437
646,7,879,91,2,VM2,100649
477,1,1607,90,1,VM3,100824
376,5,694,74,3,VM4,100866
451,7,350,111,1,VM2,100969
561,1,1270,71,1,VM4,101579
415,4,1629,74,3,VM4,102283
376,2,1100,117,3,VM4,102284
536,7,1097,130,2,VM1,102554
536,7,944,98,2,VM2,102935
423,5,564,75,1,VM2,103225
429,3,652,85,2,VM1,103250
534,4,942,120,2,VM3,103324
282,5,893,102,3,VM4,103410
288,1,994,97,2,VM2,103945
392,1,1236,106,1,VM1,104131
467,1,875,99,2,VM4,104332
546,1,1241,130,1,VM3,105151
721,3,876,85,3,VM3,105455
628,4,1289,82,1,VM4,106142
476,6,1046,72,2,VM3,106325
497,2,912,89,3,VM2,106374
349,3,1041,78,2,VM2,107171
497,3,948,104,3,VM2,107355
456,6,1052,100,3,VM3,107415
548,6,1218,78,2,VM2,107523
375,2,1001,111,2,VM1,107539
577,2,929,130,3,VM2,107728
729,6,736,107,3,VM2,108304
483,1,1172,49,2,VM3,109117
560,3,1113,139,1,VM2,109927
603,5,721,114,2,VM4,109967
439,2,1237,139,3,VM1,110111
533,2,717,121,2,VM3,110120
501,6,1287,125,1,VM1,110699
514,4,1200,104,2,VM4,110833
384,5,1131,94,3,VM3,111132
503,5,927,107,2,VM3,111508
574,2,1171,85,3,VM2,111677
717,1,1299,108,3,VM1,111787
643,4,1175,47,2,VM4,112769
822,5,852,100,3,VM4,113771
384,2,1092,126,3,VM3,113873
630,5,1313,101,1,VM2,114069
527,7,1586,134,1,VM3,115151
828,4,971,94,1,VM3,115153
378,4,1243,120,1,VM3,115312
374,7,1314,82,3,VM3,115344
410,3,816,119,2,VM4,115557
181,7,1480,104,3,VM4,115565
421,6,751,95,3,VM3,115722
386,6,1231,48,3,VM3,115796
522,2,1102,94,2,VM2,116025
551,4,1038,104,1,VM3,117681
781,3,1675,116,3,VM4,118165
642,3,946,131,3,VM1,118725
413,5,942,140,1,VM4,119028
365,5,1364,124,3,VM2,119041
573,7,1219,88,2,VM4,119110
301,3,1352,93,3,VM1,119887
774,7,1053,114,3,VM3,120024
676,7,1105,110,1,VM1,120057
429,5,1510,132,3,VM3,120421
243,4,809,149,3,VM3,120527
703,7,997,145,2,VM4,120621
482,1,1228,129,1,VM4,122482
685,4,973,110,1,VM4,123068
260,3,878,126,2,VM2,123225
410,3,1182,133,3,VM4,124403
500,7,1365,97,1,VM2,124718
507,4,987,89,1,VM4,125124
432,5,980,84,3,VM3,125134
593,5,858,82,3,VM2,125173
339,6,948,72,1,VM1,125474
478,3,1301,104,3,VM2,126162
518,2,1044,80,1,VM2,126455
577,6,817,84,3,VM1,126498
606,5,1091,114,3,VM2,126535
331,4,1293,103,2,VM3,127093
269,5,880,108,3,VM4,127138
691,4,683,127,2,VM1,127358
549,6,1584,117,3,VM4,127369
387,3,671,130,1,VM3,127395
732,5,932,101,1,VM1,127729
517,7,1083,132,3,VM4,128080
676,4,954,107,3,VM4,128205
510,3,1004,103,1,VM3,128278
809,2,1171,129,3,VM4,128782
763,4,411,82,2,VM3,128856
462,6,699,140,2,VM2,129090
645,2,1035,94,2,VM3,130125
596,2,920,75,2,VM2,130173
705,1,1057,113,2,VM1,131021
355,5,1082,92,3,VM4,131082
602,4,482,140,3,VM3,131333
658,2,1350,91,2,VM3,131475
236,1,896,106,3,VM4,132480
322,6,802,71,3,VM4,132576
194,3,1077,116,2,VM1,132729
459,7,1051,84,3,VM1,133949
607,7,1330,113,3,VM3,134180
725,4,1093,91,3,VM1,134389
511,2,1320,59,2,VM2,134479
744,7,783,102,3,VM1,134841
292,5,1060,101,1,VM1,134845
244,7,738,117,1,VM3,134861
491,7,1049,131,2,VM2,135135
557,7,994,138,1,VM1,135260
495,1,983,117,2,VM2,136180
189,2,985,105,1,VM2,136880
486,5,1212,71,1,VM2,137256
304,2,612,104,1,VM4,137767
600,4,793,104,2,VM4,138097
554,4,1013,96,2,VM4,138137
359,4,722,112,3,VM4,138572
422,6,1035,122,2,VM3,138643
341,7,1010,83,1,VM1,138760
490,6,664,83,1,VM4,139274
643,1,651,97,2,VM3,139504
352,4,352,87,2,VM1,140094
575,5,711,67,2,VM4,140166
420,2,1027,80,3,VM1,140447
381,7,1063,75,1,VM4,140473
483,3,1075,124,3,VM3,140782
344,5,824,134,3,VM2,141213
416,7,1019,78,1,VM2,141477
320,6,1125,110,1,VM1,141570
794,6,699,117,2,VM3,141580
505,5,1055,70,2,VM2,141618
395,6,1192,103,3,VM4,141910
532,4,898,150,2,VM2,142727
483,1,1295,113,2,VM1,142797
466,2,904,95,1,VM1,143195
592,1,803,88,1,VM3,143799
613,7,1166,59,2,VM1,144020
420,2,1544,109,1,VM2,144352
413,2,1045,138,2,VM2,144858
458,1,1186,83,1,VM2,144948
154,5,893,61,1,VM2,145054
272,2,706,86,1,VM3,145054
705,1,1066,117,1,VM4,146044
746,2,1107,91,2,VM4,146793
462,3,932,83,3,VM3,147227
586,5,1185,100,1,VM1,147251
546,4,856,104,2,VM4,147429
961,2,793,72,2,VM1,147462
667,3,1295,95,1,VM4,147466
480,4,1296,90,3,VM1,147754
356,4,861,87,1,VM3,148726
259,7,1464,79,2,VM2,149425
530,2,950,118,3,VM1,149783
386,1,1045,87,2,VM2,149814
286,2,1002,60,1,VM1,149910
403,3,1158,105,3,VM1,150026
337,4,1093,114,2,VM1,150458
753,2,1090,84,2,VM1,150944
632,1,762,88,2,VM1,151090
498,7,591,87,1,VM2,151252
721,2,1316,93,3,VM1,151266
511,5,884,122,1,VM2,151368
370,7,1011,97,1,VM3,151548
728,1,1107,116,1,VM4,151585
580,3,1441,80,3,VM1,151767
344,4,1065,92,1,VM4,152342
471,2,922,119,1,VM2,152603
368,1,889,83,1,VM3,152628
292,7,1014,120,1,VM3,152692
638,5,791,87,2,VM3,152885
786,1,1031,93,1,VM4,153020
290,6,1010,133,2,VM2,153153
584,5,1444,91,1,VM1,153379
402,7,1002,102,3,VM1,153642
426,3,531,112,2,VM2,154120
411,4,1708,104,2,VM4,154245
370,7,1268,105,2,VM1,154737
507,3,1557,98,2,VM2,154861
375,2,727,73,3,VM1,154878
540,1,967,106,1,VM3,155120
492,6,1196,85,2,VM1,155386
464,5,1161,115,3,VM4,156204
363,5,1102,127,2,VM2,156592
413,1,460,63,1,VM4,157342
613,6,585,127,2,VM2,158059
575,1,1412,91,3,VM3,158337
353,2,1458,97,1,VM2,158562
514,3,996,81,3,VM1,158807
612,7,1379,103,1,VM1,159956
249,5,762,101,1,VM3,160401
581,2,820,121,1,VM2,160435
400,3,741,85,2,VM3,160887
585,2,806,133,3,VM1,160943
385,6,1209,113,3,VM4,161121
229,5,803,101,3,VM3,161192
255,7,1597,96,1,VM4,161543
507,1,1141,93,2,VM4,162173
538,1,1301,95,1,VM2,162275
364,3,1149,103,3,VM3,162301
595,7,1334,95,2,VM4,162407
250,4,801,87,2,VM4,162742
490,6,1394,103,2,VM2,162862
318,3,1060,83,3,VM2,162960
402,4,1333,106,2,VM1,163021
507,2,655,95,2,VM4,163227
370,6,1070,113,1,VM1,163324
442,2,1061,119,1,VM4,163718
650,7,865,119,2,VM1,163742
413,5,1104,106,2,VM2,164069
625,6,1418,108,1,VM3,164150
330,4,845,93,1,VM2,164352
579,5,1270,113,1,VM1,164453
716,1,735,115,3,VM1,164838
129,4,1564,68,3,VM3,165710
380,3,1224,107,1,VM4,166457
586,1,1465,127,2,VM1,166719
469,1,1196,92,1,VM1,166906
555,3,1123,88,3,VM1,167417
409,6,1226,91,2,VM3,167762
512,1,989,69,3,VM2,167823
476,7,609,102,2,VM1,168339
675,4,1138,100,3,VM3,168507
538,5,830,103,2,VM1,168570
550,1,741,108,2,VM4,168669
438,4,1186,84,2,VM3,168763
426,2,952,105,2,VM1,168982
435,4,1287,108,3,VM3,169063
559,5,822,90,3,VM1,169102
436,4,903,108,2,VM2,169142
543,3,1318,101,2,VM1,169404
811,5,1095,87,3,VM3,169803
630,6,645,105,2,VM4,169919
451,2,1089,94,2,VM4,169929
680,3,1403,113,2,VM4,169970
438,6,901,95,1,VM1,170709
194,4,1177,74,2,VM2,170913
348,5,806,105,1,VM1,171094
219,2,988,104,2,VM4,171106
447,3,1302,78,3,VM3,171497
502,6,1080,115,1,VM4,171722
751,6,1354,113,1,VM3,171790
549,2,1132,82,2,VM2,171825
467,7,1591,86,2,VM3,171970
624,4,623,97,1,VM1,172515
168,2,968,84,3,VM1,173116
535,6,746,112,3,VM1,173393
615,1,763,102,2,VM3,173783
278,3,766,78,3,VM1,173820
671,2,1066,83,3,VM1,174086
550,7,1081,123,2,VM1,174416
437,6,1133,130,3,VM2,174483
594,4,736,110,2,VM3,175119
840,6,940,95,1,VM3,175185
527,4,777,91,2,VM4,175297
537,2,1263,110,1,VM3,175588
431,4,801,101,1,VM2,175893
372,5,969,67,3,VM3,176254
624,5,1167,120,3,VM2,176289
371,5,866,126,3,VM2,176857
510,7,1201,114,2,VM3,177086
428,7,1432,78,3,VM4,177277
571,1,1072,87,1,VM1,178468
550,7,1254,62,3,VM1,178872
655,2,493,131,3,VM3,178910
423,6,914,92,2,VM3,179334
459,6,1071,146,2,VM2,179364
353,1,754,139,1,VM3,179372
433,7,1077,81,2,VM2,179527
556,4,1295,85,3,VM4,181042
613,1,542,109,2,VM3,181099
361,4,719,64,1,VM1,181434
630,4,1071,91,3,VM1,181491
703,3,1141,89,1,VM3,181878
562,6,1212,137,2,VM2,182090
781,5,1052,103,2,VM1,182431
383,7,1142,94,1,VM2,182499
313,4,1255,87,3,VM3,182910
233,3,917,117,2,VM3,184539
724,6,868,90,2,VM1,184868
598,5,980,98,3,VM3,185072
491,4,1075,87,2,VM4,185842
541,4,855,69,1,VM4,185847
331,1,923,80,2,VM1,186239
866,1,1125,89,2,VM4,186898
519,6,1064,94,3,VM2,186917
516,5,976,95,1,VM1,187097
608,4,578,98,3,VM1,187165
572,6,1023,90,2,VM2,187416
533,6,775,126,2,VM4,187731
381,2,1275,118,3,VM4,187839
570,7,944,97,3,VM4,188024
782,1,768,105,3,VM1,188122
701,5,1008,92,1,VM1,188260
738,4,1349,43,2,VM4,188312
423,6,1185,100,3,VM3,188963
351,4,1080,106,2,VM4,188966
481,2,684,67,1,VM2,189608
508,5,1439,109,1,VM1,189862
664,6,864,94,1,VM2,189983
246,4,1263,106,1,VM2,190368
729,1,940,94,2,VM1,190581
476,7,1238,125,1,VM3,190788
435,2,1358,104,1,VM4,190823
348,5,1189,120,3,VM2,190971
251,2,1217,121,1,VM1,191054
623,1,998,77,3,VM2,191059
510,5,912,85,1,VM4,191193
306,2,1059,109,1,VM3,191221
305,3,936,92,3,VM3,191310
449,1,1655,95,1,VM3,191339
750,1,769,125,2,VM1,191371
461,1,1280,93,2,VM1,191438
274,3,1156,80,1,VM3,194078
463,3,1082,83,2,VM4,194078
459,4,1402,143,3,VM4,194384
95,6,1100,96,1,VM1,194429
491,7,861,72,1,VM3,195189
465,2,1098,64,3,VM4,195219
604,4,977,87,3,VM4,196150
777,2,1152,96,3,VM4,196433
668,7,1232,118,1,VM1,196433
459,6,804,117,3,VM3,197107
334,3,1330,99,3,VM2,197328
886,6,958,90,2,VM3,197419
508,3,1137,106,2,VM3,197857
502,7,1181,65,1,VM1,198640
496,6,1118,139,2,VM4,198839
529,4,996,113,2,VM4,198953
478,5,898,117,3,VM1,199419
413,4,955,78,3,VM1,199763
417,2,1424,125,2,VM1,200422
495,4,802,90,2,VM1,200775
418,7,839,80,2,VM1,200859
393,1,828,99,1,VM2,201664
515,2,1058,98,1,VM3,201697
461,6,633,78,1,VM3,201791
725,2,677,82,2,VM3,202011
102,5,957,80,2,VM4,202261
663,3,694,80,1,VM2,202266
686,6,715,92,1,VM3,202721
188,2,696,72,2,VM4,202856
448,6,807,86,3,VM2,203012
444,6,1211,120,1,VM2,203509
288,6,1268,116,2,VM4,203652
383,3,1515,79,2,VM2,203667
333,7,1505,119,3,VM4,203725
762,4,1225,60,2,VM3,204662
640,6,1287,148,2,VM4,204683
690,1,1057,126,1,VM2,204815
608,7,1157,88,1,VM3,205025
330,5,1521,107,3,VM3,205229
421,3,1119,71,3,VM1,205230
573,2,1319,101,2,VM1,205439
316,3,784,96,1,VM2,205584
606,2,853,83,3,VM4,206657
463,3,1103,90,3,VM4,206709
443,2,1062,88,3,VM2,206841
606,6,865,77,2,VM3,207004
566,4,1640,82,1,VM2,207152
445,2,1068,71,3,VM2,207481
673,2,910,117,1,VM3,207554
337,1,1062,81,3,VM4,207629
592,2,1030,75,3,VM2,208021
588,1,1072,116,1,VM4,208229
453,5,616,107,1,VM2,208390
548,6,1354,116,1,VM3,208446
312,1,1369,118,2,VM3,208508
638,4,1400,138,3,VM1,208511
472,7,1107,96,2,VM3,208540
421,6,1193,70,1,VM1,208784
657,1,802,105,3,VM2,209451
394,6,1237,86,2,VM4,209553
288,6,1088,80,3,VM3,209672
266,6,906,101,2,VM3,209709
590,5,1245,117,1,VM3,209856
307,4,1255,83,2,VM2,209868
763,3,1039,125,3,VM1,210617
187,3,1136,80,3,VM2,210952
754,1,759,95,3,VM4,212357
531,6,1342,107,3,VM2,213000
485,1,793,92,1,VM4,213192
418,5,843,64,2,VM3,213412
559,5,1039,118,1,VM4,213476
494,2,1309,87,1,VM4,213662
665,5,1309,114,1,VM1,214362
517,2,1022,74,3,VM4,214377
522,4,1221,78,3,VM4,214975
445,1,591,117,3,VM2,215100
491,7,839,106,2,VM3,215789
546,4,845,91,3,VM2,216638
243,5,1344,107,2,VM2,216971
297,4,1191,80,3,VM3,217299
611,4,1071,102,3,VM3,217480
525,4,1096,102,1,VM4,218021
472,5,1425,92,1,VM4,218999
502,7,980,83,1,VM1,219447
552,6,687,101,2,VM2,219739
419,4,1302,98,2,VM3,220019
383,2,1070,90,3,VM4,220587
529,5,1268,79,2,VM3,220820
353,4,1012,100,3,VM4,221309
561,7,809,90,2,VM1,221522
244,6,1127,79,2,VM1,221542
654,5,1026,100,2,VM3,221687
570,3,1071,132,1,VM1,221863
538,6,1437,92,2,VM3,221909
647,2,742,129,1,VM4,221942
749,4,1097,142,1,VM2,222172
652,7,814,80,2,VM1,222198
223,3,360,100,3,VM4,222307
308,7,1011,142,3,VM2,222716
406,3,1031,97,3,VM2,223717
503,5,1183,100,2,VM2,224097
577,3,968,66,3,VM4,225570
391,2,642,89,1,VM4,225929
528,2,813,111,3,VM3,226033
386,1,1361,148,2,VM2,226368
408,2,809,96,3,VM2,226731
289,6,1429,66,1,VM2,226871
361,3,1292,71,2,VM3,226876
297,2,942,99,3,VM2,227241
353,5,837,123,2,VM4,227247
658,7,1292,112,2,VM2,227546
357,7,962,109,2,VM1,227600
894,1,628,126,3,VM4,227850
573,7,1167,85,2,VM3,228060
527,3,1130,100,3,VM2,228064
371,1,1315,89,1,VM1,228200
605,3,1113,94,3,VM3,228475
413,5,883,79,1,VM3,229042
518,1,1349,93,3,VM4,229700
884,4,1373,99,2,VM3,229899
485,6,1083,92,3,VM3,230290
672,6,1039,96,2,VM3,230404
394,3,685,108,1,VM3,230530
494,7,868,124,3,VM2,230594
765,4,1218,126,2,VM2,230842
405,1,881,115,1,VM2,230955
771,4,651,74,1,VM2,230982
606,4,1918,92,3,VM1,231328
415,7,649,94,1,VM2,231697
594,1,1601,86,2,VM3,231831
645,5,945,106,1,VM2,231855
593,7,1002,68,1,VM2,232022
264,4,851,133,2,VM4,232197
390,4,1224,123,1,VM3,232528
462,5,655,109,1,VM2,232642
488,4,552,98,1,VM2,232986
593,4,1436,124,1,VM2,233602
526,4,818,113,2,VM1,233683
299,6,1214,122,1,VM2,234841
557,7,746,98,2,VM4,234988
591,2,1205,135,1,VM3,235081
583,7,1454,123,1,VM3,235245
662,5,889,110,1,VM2,235275
625,4,529,125,1,VM2,235315
568,7,1456,91,2,VM2,235476
489,6,1261,76,2,VM3,235907
250,5,902,106,2,VM3,236599
564,3,968,98,3,VM1,236927
